Email,Phone,Social Media Links
N/A,N/A,"https://www.facebook.com/TakeIELTSOfficial/?locale=en_GB, https://twitter.com/takeielts?, https://www.instagram.com/takeieltsofficial/"
N/A,N/A,"https://www.facebook.com/TakeIELTSOfficial/?locale=en_GB, https://twitter.com/takeielts?, https://www.instagram.com/takeieltsofficial/"
info@consultancynepal.com,N/A,N/A
"crosseurope.edu.consultancy@gmail.com, info@consultancynepal.com",N/A,N/A
"info@consultancynepal.com, birateducation@outlook.com",N/A,N/A
N/A,N/A,"https://twitter.com/intent/tweet?text=Take%20IELTS%20with%20the%20British%20Council&url=https%3A%2F%2Fwww.britishcouncil.org.np%2Fexam%2Fielts, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.britishcouncil.org.np%2Fexam%2Fielts, https://www.facebook.com/BritishCouncilNepal, https://www.instagram.com/npbritish, https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.britishcouncil.org.np%2Fexam%2Fielts&title=Take%20IELTS%20with%20the%20British%20Council, https://twitter.com/npBritish"
N/A,N/A,"https://www.facebook.com/BritishCouncilNepal, https://www.instagram.com/npbritish, https://twitter.com/npBritish"
N/A,N/A,N/A
N/A,N/A,"https://www.facebook.com/jasso.japanalumniglobalnetwork, https://www.facebook.com/profile.php?id=100079232435291, https://www.instagram.com/JASSO_study_in_japan/"
N/A,N/A,N/A
N/A,N/A,"https://www.instagram.com/pentacounseling/, https://www.facebook.com/PentaGermany/, https://www.linkedin.com/in/penta-counseling, https://twitter.com/PentaGermany"
reply@pearsonpte.com,N/A,http://www.facebook.com/ptenepal.official
N/A,N/A,"https://www.linkedin.com/company/indiamart-intermesh-limited/, https://twitter.com/IndiaMART, https://www.facebook.com/IndiaMART"
"support@ptenepal.com.npAddressChiple, Emailmail.easypte@gmail.com",9805168171,http://www.facebook.com/ptenepal.official
