Email,Phone,Social Media Links
N/A,N/A,"https://www.facebook.com/marriottbonvoy, https://www.instagram.com/marriottbonvoy/, https://www.linkedin.com/company/marriott-international, https://twitter.com/marriottbonvoy"
"Utsav.wagle@ctxpress.com, citywallet@ctxpress.com",9860416906,"https://www.linkedin.com/in/binay-regmi-4572671a/, https://www.instagram.com/citypay_wallet/, https://www.linkedin.com/in/city-pay-952181302/, https://www.linkedin.com/in/kabita-regmi-009185140/, https://www.linkedin.com/in/prakash-chalise-856621192/, https://www.facebook.com/citypaydigital, https://www.linkedin.com/in/pratik-regmi-269768109/"
citywallet@ctxpress.com,N/A,"https://www.instagram.com/citypay_wallet/, https://www.linkedin.com/in/city-pay-952181302/, https://www.facebook.com/citypaydigital"
N/A,N/A,"https://www.facebook.com/marriottbonvoy, https://www.instagram.com/marriottbonvoy/, https://www.linkedin.com/company/marriott-international, https://twitter.com/marriottbonvoy"
N/A,N/A,"https://twitter.com/esewanepal, https://www.facebook.com/esewa/, https://www.linkedin.com/company/esewa/, https://www.instagram.com/esewa_official/?hl=en"
info@ctxpress.com,N/A,"https://www.facebook.com/ctxpressmt, https://www.instagram.com/cityexpressmt/"
N/A,N/A,"https://twitter.com/esewanepal, https://www.facebook.com/esewa/, https://www.linkedin.com/company/esewa/, https://www.instagram.com/esewa_official/?hl=en"
"info@ctxpress.com, info@ctxpress.com.au, help@gmoneytrans.com",N/A,"https://www.facebook.com/ctxpressmt, https://www.instagram.com/cityexpressmt/"
N/A,N/A,"https://twitter.com/citypaynews, https://www.facebook.com/citypaycom"
N/A,N/A,"https://twitter.com/citypaynews, https://www.facebook.com/citypaycom"
N/A,N/A,"https://www.facebook.com/cemtjapan, https://www.instagram.com/cityremit/"
N/A,N/A,"https://www.facebook.com/cemtjapan, https://www.instagram.com/cityremit/"
info@ctxpress.com,N/A,"https://www.facebook.com/ctxpressmt, https://www.instagram.com/cityexpressmt/"
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
info@ctxpress.com,N/A,"https://www.facebook.com/ctxpressmt, https://www.instagram.com/cityexpressmt/"
N/A,N/A,/language/?next_uri=https%3A%2F%2Fm.facebook.com%2Flogin.php%3Fnext%3Dhttps%253A%252F%252Fm.facebook.com%252Fhome.php%253Frefid%253D9%26refsrc%3Ddeprecated%26refid%3D9&ref_component=mbasic_footer&ref_page=%2Flogin.php&refid=9
info@ctxpress.com,N/A,"https://www.facebook.com/ctxpressmt, https://www.instagram.com/cityexpressmt/"
N/A,N/A,N/A
"Utsav.wagle@ctxpress.com, citywallet@ctxpress.com",9860416906,"https://www.linkedin.com/in/binay-regmi-4572671a/, https://www.instagram.com/citypay_wallet/, https://www.linkedin.com/in/city-pay-952181302/, https://www.linkedin.com/in/kabita-regmi-009185140/, https://www.linkedin.com/in/prakash-chalise-856621192/, https://www.facebook.com/citypaydigital, https://www.linkedin.com/in/pratik-regmi-269768109/"
